监测时间,SO2,NO2,PM10,PM2_5,O3,CO,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,PM2_5_IAQI,PM10_IAQI,AQI,AQI_Category
2020-10-11,9,50,66,36,174,0.7,9,63,18,113,51,58,113,轻度污染
2020-10-12,10,43,64,34,154,0.6,10,54,15,95,49,57,95,良
2020-10-13,9,34,53,25,76,0.6,9,43,15,38,36,52,52,良
2020-10-14,8,47,40,19,54,0.6,8,59,15,27,27,40,59,良
2020-10-15,10,45,54,25,140,0.6,10,56,15,83,36,52,83,良
2020-10-16,11,33,48,22,97,0.6,11,41,15,49,31,48,49,优
2020-10-17,8,23,29,11,74,0.6,8,29,15,37,16,29,37,优
2020-10-18,8,20,28,11,98,0.6,8,25,15,49,16,28,49,优
2020-10-19,7,21,27,10,94,0.6,7,26,15,47,14,27,47,优
2020-10-20,6,21,35,16,115,0.6,6,26,15,63,23,35,63,良
2020-10-21,8,21,37,18,100,0.6,8,26,15,50,26,37,50,优
2020-10-22,8,22,38,15,96,0.6,8,28,15,48,21,38,48,优
2020-10-23,10,39,71,26,108,0.6,10,49,15,57,37,61,61,良
2020-10-24,11,42,72,25,104,0.5,11,53,13,53,36,61,61,良
2020-10-25,16,64,86,34,169,0.7,16,80,18,108,49,68,108,轻度污染
2020-10-26,11,73,85,41,188,0.8,11,91,20,125,58,68,125,轻度污染
2020-10-27,10,66,81,45,166,0.8,10,83,20,105,63,66,105,轻度污染
2020-10-28,9,67,78,43,92,0.9,9,84,23,46,60,64,84,良
2020-10-29,5,48,49,43,53,0.9,5,60,23,27,60,49,60,良
2020-10-30,6,44,54,39,61,0.9,6,55,23,31,55,52,55,良
2020-10-31,10,54,71,49,126,0.9,10,68,23,72,68,61,72,良
2020-11-01,10,56,81,51,190,1.0,10,70,25,127,70,66,127,轻度污染
2020-11-02,7,42,69,47,124,0.9,7,53,23,70,65,60,70,良
2020-11-03,6,26,43,23,101,0.8,6,33,20,51,33,43,51,良
2020-11-04,10,52,78,45,105,0.9,10,65,23,54,63,64,65,良
2020-11-05,11,71,90,51,184,1.0,11,89,25,122,70,70,122,轻度污染
2020-11-06,10,59,84,46,160,1.0,10,74,25,100,64,67,100,良
2020-11-07,12,42,69,37,148,1.0,12,53,25,90,53,60,90,良
2020-11-08,12,24,63,32,148,0.8,12,30,20,90,46,57,90,良
2020-11-09,12,33,78,30,138,0.8,12,41,20,82,43,64,82,良
2020-11-10,12,52,85,39,146,0.9,12,65,23,88,55,68,88,良
2020-11-11,14,68,78,35,117,0.8,14,85,20,64,50,64,85,良
2020-11-12,13,71,75,34,122,0.8,13,89,20,68,49,63,89,良
2020-11-13,12,62,63,28,102,0.8,12,78,20,52,40,57,78,良
2020-11-14,11,38,58,25,75,0.7,11,48,18,38,36,54,54,良
2020-11-15,10,48,54,31,33,0.8,10,60,20,17,44,52,60,良
2020-11-16,9,47,66,43,125,0.9,9,59,23,71,60,58,71,良
2020-11-17,5,41,46,19,67,0.6,5,51,15,34,27,46,51,良
2020-11-18,5,48,60,26,106,0.7,5,60,18,55,37,55,60,良
2020-11-19,6,39,47,22,114,0.8,6,49,20,62,31,47,62,良
2020-11-20,5,38,54,31,160,0.8,5,48,20,100,44,52,100,良
2020-11-21,5,38,54,31,160,0.8,5,48,20,100,44,52,100,良
2020-11-22,4,39,49,26,150,0.7,4,49,18,92,37,49,92,良
2020-11-23,5,45,63,28,20,0.9,5,56,23,10,40,57,57,良
2020-11-24,6,42,58,28,111,0.8,6,53,20,59,40,54,59,良
2020-11-25,7,69,63,30,134,0.8,7,86,20,78,43,57,86,良
2020-11-26,8,49,68,37,107,0.7,8,61,18,56,53,59,61,良
2020-11-27,6,32,38,15,82,0.7,6,40,18,41,21,38,41,优
2020-11-28,6,23,31,14,88,0.6,6,29,15,44,20,31,44,优
2020-11-29,6,25,33,14,70,0.7,6,31,18,35,20,33,35,优
2020-11-30,6,27,37,17,83,0.7,6,34,18,42,24,37,42,优
2020-12-01,7,34,41,21,78,0.6,7,43,15,39,30,41,43,优
2020-12-02,7,31,40,21,75,0.5,7,39,13,38,30,40,40,优
2020-12-03,6,26,36,20,64,0.4,6,33,10,32,29,36,36,优
2020-12-04,7,27,37,20,66,0.5,7,34,13,33,29,37,37,优
2020-12-05,8,36,48,29,71,0.6,8,45,15,36,41,48,48,优
2020-12-06,10,52,69,46,92,0.7,10,65,18,46,64,60,65,良
2020-12-07,13,60,81,51,88,0.8,13,75,20,44,70,66,75,良
2020-12-08,11,45,65,42,82,0.7,11,56,18,41,59,58,59,良
2020-12-09,10,64,71,45,46,0.7,10,80,18,23,63,61,80,良
2020-12-10,13,68,84,49,75,0.8,13,85,20,38,68,67,85,良
2020-12-11,14,71,84,48,71,0.9,14,89,23,36,66,67,89,良
2020-12-12,13,65,89,55,68,1.0,13,81,25,34,75,70,81,良
2020-12-13,11,65,97,65,43,0.9,11,81,23,22,88,74,88,良
2020-12-14,6,39,34,22,25,1.0,6,49,25,13,31,34,49,优
2020-12-15,3,28,20,7,30,0.7,3,35,18,15,10,20,35,优
2020-12-16,3,32,28,14,32,0.6,3,40,15,16,20,28,40,优
2020-12-17,4,35,38,21,13,0.6,4,44,15,7,30,38,44,优
2020-12-18,5,34,45,22,26,0.7,5,43,18,13,31,45,45,优
2020-12-19,6,27,43,26,49,0.6,6,34,15,25,37,43,43,优
2020-12-20,8,27,51,37,91,0.6,8,34,15,46,53,51,53,良
2020-12-21,8,38,64,50,85,0.7,8,48,18,43,69,57,69,良
2020-12-22,8,64,79,52,62,0.8,8,80,20,31,71,65,80,良
2020-12-23,9,75,94,53,44,1.0,9,94,25,22,73,72,94,良
2020-12-24,6,40,58,35,38,0.7,6,50,18,19,50,54,54,良
2020-12-25,8,48,78,49,26,0.9,8,60,23,13,68,64,68,良
2020-12-26,8,48,93,54,85,0.9,8,60,23,43,74,72,74,良
2020-12-27,8,86,116,75,173,1.2,8,103,30,112,100,83,112,轻度污染
2020-12-28,8,75,85,62,129,1.1,8,94,28,74,84,68,94,良
2020-12-29,8,51,76,48,129,1.0,8,64,25,74,66,63,74,良
2020-12-30,6,15,50,12,129,1.0,6,19,25,74,17,50,74,良
2020-12-31,6,24,38,18,129,0.7,6,30,18,74,26,38,74,良
2021-01-01,6,32,37,18,64,0.7,6,40,18,32,26,37,40,优
2021-01-02,9,55,53,26,62,0.9,9,69,23,31,37,52,69,良
2021-01-03,11,81,101,55,60,1.3,11,101,33,30,75,76,101,轻度污染
2021-01-04,12,71,73,35,61,0.9,12,89,23,31,50,62,89,良
2021-01-05,15,64,81,42,98,1.0,15,80,25,49,59,66,80,良
2021-01-06,12,53,76,47,93,1.0,12,66,25,47,65,63,66,良
2021-01-07,9,37,63,47,43,1.1,9,46,28,22,65,57,65,良
2021-01-08,7,21,40,31,48,1.0,7,26,25,24,44,40,44,优
2021-01-09,8,36,47,18,44,0.9,8,45,23,22,26,47,47,优
2021-01-10,10,43,49,21,36,0.9,10,54,23,18,30,49,54,良
2021-01-11,9,29,43,26,51,0.8,9,36,20,26,37,43,43,优
2021-01-12,11,51,65,38,68,0.8,11,64,20,34,54,58,64,良
2021-01-13,11,89,93,58,36,1.2,11,105,30,18,79,72,105,轻度污染
2021-01-14,13,132,124,93,78,1.5,13,126,38,39,123,87,126,轻度污染
2021-01-15,12,117,124,97,146,1.4,12,119,35,88,128,87,128,轻度污染
2021-01-16,10,92,99,75,120,1.3,10,106,33,67,100,75,106,轻度污染
2021-01-17,11,33,106,53,102,0.9,11,41,23,52,73,78,78,良
2021-01-18,11,46,95,44,84,0.9,11,58,23,42,61,73,73,良
2021-01-19,13,87,122,76,142,1.2,13,104,30,85,101,86,104,轻度污染
2021-01-20,13,98,108,59,107,1.2,13,109,30,56,80,79,109,轻度污染
2021-01-21,13,88,103,84,83,1.3,13,104,33,42,111,77,111,轻度污染
2021-01-22,8,49,42,28,48,1.1,8,61,28,24,40,42,61,良
2021-01-23,8,53,63,43,96,1.3,8,66,33,48,60,57,66,良
2021-01-24,9,46,62,43,108,1.2,9,58,30,57,60,56,60,良
2021-01-25,8,54,59,35,131,1.1,8,68,28,76,50,55,76,良
2021-01-26,5,48,62,45,120,0.8,5,60,20,67,63,56,67,良
2021-01-27,5,53,65,44,118,0.9,5,66,23,65,61,58,66,良
2021-01-28,5,35,57,42,84,1.0,5,44,25,42,59,54,59,良
2021-01-29,5,32,39,22,135,0.7,5,40,18,79,31,39,79,良
2021-01-30,6,51,76,41,151,0.7,6,64,18,93,58,63,93,良
2021-01-31,6,43,54,27,146,0.6,6,54,15,88,39,52,88,良
2021-02-01,5,49,49,24,128,0.7,5,61,18,73,34,49,73,良
2021-02-02,5,38,52,27,167,0.7,5,48,18,106,39,51,106,轻度污染
2021-02-03,4,21,46,26,144,0.7,4,26,18,87,37,46,87,良
2021-02-04,5,34,58,30,163,0.7,5,43,18,103,43,54,103,轻度污染
2021-02-05,5,31,44,23,137,0.6,5,39,15,81,33,44,81,良
2021-02-06,7,34,48,30,149,0.8,7,43,20,91,43,48,91,良
2021-02-07,6,34,42,28,151,0.7,6,43,18,93,40,42,93,良
2021-02-08,6,25,47,30,140,0.7,6,31,18,83,43,47,83,良
2021-02-09,4,19,43,28,78,0.7,4,24,18,39,40,43,43,优
2021-02-10,4,12,10,6,41,0.8,4,15,20,21,9,10,21,优
2021-02-11,4,10,16,8,72,0.7,4,13,18,36,11,16,36,优
2021-02-12,8,10,39,28,89,0.6,8,13,15,45,40,39,45,优
2021-02-13,8,15,40,29,102,0.6,8,19,15,52,41,40,52,良
2021-02-14,8,17,40,32,111,0.6,8,21,15,59,46,40,59,良
2021-02-15,6,13,36,28,128,0.6,6,16,15,73,40,36,73,良
2021-02-16,5,16,38,25,107,0.6,5,20,15,56,36,38,56,良
2021-02-17,4,9,26,18,102,0.7,4,11,18,52,26,26,52,良
2021-02-18,5,16,37,18,114,0.5,5,20,13,62,26,37,62,良
2021-02-19,5,24,59,37,152,0.7,5,30,18,93,53,55,93,良
2021-02-20,9,20,52,36,159,0.7,9,25,18,99,51,51,99,良
2021-02-21,7,21,46,33,153,0.7,7,26,18,94,47,46,94,良
2021-02-22,7,27,49,36,200,0.8,7,34,20,136,51,49,136,轻度污染
2021-02-23,7,34,45,33,195,0.8,7,43,20,132,47,45,132,轻度污染
2021-02-24,5,17,39,21,120,0.6,5,21,15,67,30,39,67,良
2021-02-25,5,25,31,17,68,0.6,5,31,15,34,24,31,34,优
2021-02-26,4,36,33,21,28,0.9,4,45,23,14,30,33,45,优
2021-02-27,4,27,28,14,21,0.9,4,34,23,11,20,28,34,优
2021-02-28,6,50,52,29,45,1.1,6,63,28,23,41,51,63,良
2021-03-01,5,57,71,43,85,1.2,5,71,30,43,60,61,71,良
2021-03-02,5,22,23,10,65,1.0,5,28,25,33,14,23,33,优
2021-03-03,6,44,48,23,36,1.0,6,55,25,18,33,48,55,良
2021-03-04,4,44,63,42,6,1.3,4,55,33,3,59,57,59,良
2021-03-05,4,43,57,40,18,1.1,4,54,28,9,56,54,56,良
2021-03-06,4,43,32,21,36,0.9,4,54,23,18,30,32,54,良
2021-03-07,4,32,30,15,36,1.2,4,40,30,18,21,30,40,优
2021-03-08,4,52,52,28,22,1.1,4,65,28,11,40,51,65,良
2021-03-09,5,50,66,42,125,0.9,5,63,23,71,59,58,71,良
2021-03-10,5,28,54,31,111,0.8,5,35,20,59,44,52,59,良
2021-03-11,5,36,45,23,102,0.7,5,45,18,52,33,45,52,良
2021-03-12,6,49,72,48,206,0.9,6,61,23,142,66,61,142,轻度污染
2021-03-13,5,46,56,40,136,0.9,5,58,23,80,56,53,80,良
2021-03-14,5,31,56,39,157,0.9,5,39,23,98,55,53,98,良
2021-03-15,5,26,45,28,125,0.7,5,33,18,71,40,45,71,良
2021-03-16,5,29,50,29,111,0.7,5,36,18,59,41,50,59,良
2021-03-17,4,33,50,27,95,0.7,4,41,18,48,39,50,50,优
2021-03-18,4,28,40,25,66,0.6,4,35,15,33,36,40,40,优
2021-03-19,4,25,35,16,77,0.6,4,31,15,39,23,35,39,优
2021-03-20,4,25,45,26,136,0.7,4,31,18,80,37,45,80,良
2021-03-21,3,23,33,17,55,0.9,3,29,23,28,24,33,33,优
2021-03-22,3,21,77,29,83,0.8,3,26,20,42,41,64,64,良
2021-03-23,7,57,128,41,40,0.9,7,71,23,20,58,89,89,良
2021-03-24,4,61,94,49,78,1.0,4,76,25,39,68,72,76,良
2021-03-25,7,70,100,56,185,1.1,7,88,28,123,76,75,123,轻度污染
2021-03-26,5,25,51,20,120,0.6,5,31,15,67,29,51,67,良
2021-03-27,4,34,56,23,105,0.8,4,43,20,54,33,53,54,良
2021-03-28,6,34,58,28,119,0.9,6,43,23,66,40,54,66,良
2021-03-29,3,19,34,12,56,0.7,3,24,18,28,17,34,34,优
2021-03-30,2,12,30,10,80,0.7,2,15,18,40,14,30,40,优
2021-03-31,1,12,27,9,55,0.6,1,15,15,28,13,27,28,优
2021-04-01,2,12,25,7,51,0.6,2,15,15,26,10,25,26,优
2021-04-02,4,17,29,12,61,0.7,4,21,18,31,17,29,31,优
2021-04-03,7,25,40,18,88,0.8,7,31,20,44,26,40,44,优
2021-04-04,4,25,49,21,47,1.0,4,31,25,24,30,49,49,优
2021-04-05,4,32,52,28,67,1.1,4,40,28,34,40,51,51,良
2021-04-06,6,43,82,49,259,1.2,6,54,30,194,68,66,194,中度污染
2021-04-07,4,23,48,27,122,0.9,4,29,23,68,39,48,68,良
2021-04-08,3,36,33,15,67,0.9,3,45,23,34,21,33,45,优
2021-04-09,4,41,35,18,51,1.1,4,51,28,26,26,35,51,良
2021-04-10,5,48,56,28,130,1.0,5,60,25,75,40,53,75,良
2021-04-11,5,24,40,16,151,0.7,5,30,18,93,23,40,93,良
2021-04-12,4,31,44,17,107,0.8,4,39,20,56,24,44,56,良
2021-04-13,6,25,44,20,153,1.0,6,31,25,94,29,44,94,良
2021-04-14,4,18,34,465,83,0.7,4,23,18,42,477,34,477,严重污染
2021-04-15,3,25,32,15,65,0.4,3,31,10,33,21,32,33,优
2021-04-16,3,44,33,17,42,0.7,3,55,18,21,24,33,55,良
2021-04-17,3,41,33,16,28,0.8,3,51,20,14,23,33,51,良
2021-04-18,3,30,83,37,146,0.6,3,38,15,88,53,67,88,良
2021-04-19,4,33,103,39,141,0.5,4,41,13,84,55,77,84,良
2021-04-20,6,42,70,32,148,0.6,6,53,15,90,46,60,90,良
2021-04-21,7,30,61,23,163,0.5,7,38,13,103,33,56,103,轻度污染
2021-04-22,8,30,64,29,156,0.6,8,38,15,97,41,57,97,良
2021-04-23,8,26,62,33,193,0.7,8,33,18,130,47,56,130,轻度污染
2021-04-24,5,13,36,15,105,0.5,5,16,13,54,21,36,54,良
2021-04-25,4,26,35,17,80,0.6,4,33,15,40,24,35,40,优
2021-04-26,4,41,31,14,39,0.6,4,51,15,20,20,31,51,良
2021-04-27,4,55,37,22,18,0.6,4,69,15,9,31,37,69,良
2021-04-28,4,40,26,19,6,0.9,4,50,23,3,27,26,50,优
2021-04-29,5,40,43,17,124,0.8,5,50,20,70,24,43,70,良
2021-04-30,10,59,80,49,296,1.0,10,74,25,206,68,65,206,重度污染
2021-05-01,6,21,53,34,188,0.9,6,26,23,125,49,52,125,轻度污染
2021-05-02,5,26,42,29,106,0.8,5,33,20,55,41,42,55,良
2021-05-03,3,26,28,14,67,0.5,3,33,13,34,20,28,34,优
2021-05-04,3,26,28,11,77,0.5,3,33,13,39,16,28,39,优
2021-05-05,4,33,38,22,136,0.7,4,41,18,80,31,38,80,良
2021-05-06,3,24,52,23,135,0.6,3,30,15,79,33,51,79,良
2021-05-07,5,24,51,27,167,0.7,5,30,18,106,39,51,106,轻度污染
2021-05-08,4,19,38,16,108,0.5,4,24,13,57,23,38,57,良
2021-05-09,4,19,37,16,113,0.5,4,24,13,61,23,37,61,良
2021-05-10,3,13,22,6,75,0.5,3,16,13,38,9,22,38,优
2021-05-11,3,12,22,7,67,0.4,3,15,10,34,10,22,34,优
2021-05-12,2,12,24,7,62,0.4,2,15,10,31,10,24,31,优
2021-05-13,3,13,24,10,60,0.4,3,16,10,30,14,24,30,优
2021-05-14,5,12,25,11,59,0.4,5,15,10,30,16,25,30,优
2021-05-15,5,10,26,10,75,0.4,5,13,10,38,14,26,38,优
2021-05-16,4,10,25,7,66,0.4,4,13,10,33,10,25,33,优
2021-05-17,4,12,23,6,59,0.4,4,15,10,30,9,23,30,优
2021-05-18,4,13,23,6,54,0.4,4,16,10,27,9,23,27,优
2021-05-19,3,10,23,8,73,0.4,3,13,10,37,11,23,37,优
2021-05-20,3,11,24,8,56,0.4,3,14,10,28,11,24,28,优
2021-05-21,3,11,21,5,63,0.4,3,14,10,32,7,21,32,优
2021-05-22,2,10,18,4,74,0.4,2,13,10,37,6,18,37,优
2021-05-23,2,12,19,4,81,0.4,2,15,10,41,6,19,41,优
2021-05-24,4,26,23,7,44,0.5,4,33,13,22,10,23,33,优
2021-05-25,7,35,24,10,65,0.6,7,44,15,33,14,24,44,优
2021-05-26,6,21,24,7,72,0.5,6,26,13,36,10,24,36,优
2021-05-27,8,16,20,5,79,0.4,8,20,10,40,7,20,40,优
2021-05-28,6,16,22,4,75,0.4,6,20,10,38,6,22,38,优
2021-05-29,6,17,25,5,58,0.4,6,21,10,29,7,25,29,优
2021-05-30,5,16,30,9,76,0.5,5,20,13,38,13,30,38,优
2021-05-31,5,19,22,9,83,0.5,5,24,13,42,13,22,42,优
2021-06-01,3,29,16,5,58,0.5,3,36,13,29,7,16,36,优
2021-06-02,3,32,24,8,47,0.5,3,40,13,24,11,24,40,优
2021-06-03,3,25,32,11,84,0.6,3,31,15,42,16,32,42,优
2021-06-04,3,25,22,8,59,0.6,3,31,15,30,11,22,31,优
2021-06-05,7,30,40,18,168,0.6,7,38,15,107,26,40,107,轻度污染
2021-06-06,12,32,58,34,212,0.7,12,40,18,147,49,54,147,轻度污染
2021-06-07,8,19,38,24,192,0.6,8,24,15,129,34,38,129,轻度污染
2021-06-08,8,23,37,17,197,0.5,8,29,13,134,24,37,134,轻度污染
2021-06-09,8,24,23,6,88,0.4,8,30,10,44,9,23,44,优
2021-06-10,8,27,23,7,93,0.4,8,34,10,47,10,23,47,优
2021-06-11,8,26,30,8,86,0.4,8,33,10,43,11,30,43,优
2021-06-12,7,21,18,4,46,0.4,7,26,10,23,6,18,26,优
2021-06-13,6,27,21,4,35,0.4,6,34,10,18,6,21,34,优
2021-06-14,5,17,22,5,35,0.4,5,21,10,18,7,22,22,优
2021-06-15,5,16,26,8,67,0.4,5,20,10,34,11,26,34,优
2021-06-16,5,13,26,9,64,0.4,5,16,10,32,13,26,32,优
2021-06-17,4,19,26,8,45,0.4,4,24,10,23,11,26,26,优
2021-06-18,5,15,28,10,87,0.4,5,19,10,44,14,28,44,优
2021-06-19,5,13,30,12,96,0.4,5,16,10,48,17,30,48,优
2021-06-20,7,12,33,13,96,0.4,7,15,10,48,19,33,48,优
2021-06-21,6,16,35,15,95,0.4,6,20,10,48,21,35,48,优
2021-06-22,4,34,22,12,88,0.4,4,43,10,44,17,22,44,优
2021-06-23,4,29,22,12,62,0.4,4,36,10,31,17,22,36,优
2021-06-24,5,38,32,16,49,0.5,5,48,13,25,23,32,48,优
2021-06-25,5,25,32,16,90,0.5,5,31,13,45,23,32,45,优
2021-06-26,4,32,34,14,65,0.4,4,40,10,33,20,34,40,优
2021-06-27,4,15,34,14,68,0.4,4,19,10,34,20,34,34,优
2021-06-28,5,16,33,13,65,0.4,5,20,10,33,19,33,33,优
2021-06-29,6,14,33,13,59,0.5,6,18,13,30,19,33,33,优
2021-06-30,5,11,32,12,54,0.5,5,14,13,27,17,32,32,优
2021-07-01,5,8,33,12,69,0.5,5,10,13,35,17,33,35,优
2021-07-02,6,10,31,10,74,0.5,6,13,13,37,14,31,37,优
2021-07-03,6,12,34,13,67,0.5,6,15,13,34,19,34,34,优
2021-07-04,6,10,27,10,93,0.4,6,13,10,47,14,27,47,优
2021-07-05,6,19,21,4,64,0.4,6,24,10,32,6,21,32,优
2021-07-06,6,25,25,4,39,0.4,6,31,10,20,6,25,31,优
2021-07-07,5,18,18,3,54,0.4,5,23,10,27,4,18,27,优
2021-07-08,5,15,18,3,64,0.4,5,19,10,32,4,18,32,优
2021-07-09,7,17,28,12,146,0.4,7,21,10,88,17,28,88,良
2021-07-10,6,13,20,5,81,0.4,6,16,10,41,7,20,41,优
2021-07-11,6,11,20,3,63,0.3,6,14,8,32,4,20,32,优
2021-07-12,6,11,17,5,81,0.4,6,14,10,41,7,17,41,优
